pokemon,tier,first_evolution_level,first_evolution,second_evolution_level,second_evolution
Caterpie,D,7,Metapod,10,Butterfree
Weedle,D,7,Kakuna,10,Beedrill
Pidgey,D,18,Pidgeotto,36,Pidgeot
Rattata,E,20,Raticate,NA,NA
Zubat,E,22,Golbat,NA,NA
Spearow,E,20,Fearow,NA,NA
Oddish,D,21,Gloom,36,Vileplume
Paras,E,24,Parasect,NA,NA
Venonat,E,31,Venomoth,NA,NA
Meowth,D,28,Persian,NA,NA
Bellsprout,D,21,Weepinbell,36,Victreebel
Drowzee,D,26,Hypno,NA,NA
Krabby,E,28,Kingler,NA,NA
Magikarp,B,40,Gyarados,NA,NA
Ekans,D,22,Arbok,NA,NA
Nidoran F,D,16,Nidorina,32,Nidoqueen
Nidoran M,D,16,Nidorino,32,Nidoking
Diglett,E,26,Dugtrio,NA,NA
Poliwag,D,25,Poliwhirl,36,Poliwrath
Tentacool,E,30,Tentacruel,NA,NA
Slowpoke,E,37,Slowbro,NA,NA
Doduo,E,31,Dodrio,NA,NA
Shellder,D,32,Cloyster,NA,NA
Gastly,B,25,Haunter,40,Gengar
Exeggcute,C,36,Exeggutor,NA,NA
Cubone,D,28,Marowak,NA,NA
Goldeen,E,33,Seaking,NA,NA
Staryu,D,25,Starmie,NA,NA
Eevee1,B,36,Vaporeon,NA,NA
Eevee2,B,36,Jolteon,NA,NA
Eevee3,B,36,Flareon,NA,NA
Sandshrew,E,22,Sandslash,NA,NA
Vulpix,D,32,Ninetales,NA,NA
Psyduck,E,33,Golduck,NA,NA
Mankey,E,28,Primeape,NA,NA
Growlithe,B,36,Arcanine,NA,NA
Abra,B,16,Kadabra,40,Alakazam
Machop,B,28,Machoke,40,Machamp
Geodude,B,25,Graveler,40,Golem
Ponyta,C,40,Rapidash,NA,NA
Seel,E,34,Dewgong,NA,NA
Koffing,E,35,Weezing,NA,NA
Ditto,F,NA,NA,NA,NA
Bulbasaur,A,16,Ivysaur,32,Venusaur
Charmander,A,16,Charmeleon,36,Charizard
Squirtle,A,16,Wartortle,36,Blastoise
Grimer,E,38,Muk,NA,NA
Pinsir,C,NA,NA,NA,NA
Omanyte,D,40,Omastar,NA,NA
Kabuto,D,40,Kabutops,NA,NA
Dratini,B,30,Dragonair,55,Dragonite
Farfetch'd,F,NA,NA,NA,NA
Voltorb,E,30,Electrode,NA,NA
Kangaskhan,C,NA,NA,NA,NA
Tauros,C,NA,NA,NA,NA
Lapras,C,NA,NA,NA,NA
Aerodactyl,C,NA,NA,NA,NA
Moltres,S,NA,NA,NA,NA
Zapdos,S,NA,NA,NA,NA
Articuno,S,NA,NA,NA,NA
Mewtwo,S,NA,NA,NA,NA
Mew,S,NA,NA,NA,NA
